sensor_light,y
2810,luz
2808,luz
2806,luz
2803,luz
2802,luz
2804,luz
2799,luz
2800,luz
2800,luz
2793,luz
2798,luz
2797,luz
2791,luz
2791,luz
2789,luz
2790,luz
2800,luz
2795,luz
2799,luz
2800,luz
2797,luz
1101,luz
1095,luz
1088,luz
1098,luz
1094,luz
1093,luz
1099,luz
1097,luz
1094,luz
1095,luz
1097,luz
1098,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
4095,luz
2871,luz
2871,luz
2871,luz
2871,luz
2871,luz
2871,luz
2864,luz
2869,luz
2873,luz
2866,luz
2875,luz
2868,luz
2869,luz
2865,luz
2869,luz
2864,luz
2868,luz
2864,luz
2870,luz
1040,luz
345,luz
340,luz
347,luz
343,luz
340,luz
344,luz
341,luz
340,luz
336,luz
339,luz
343,luz
344,luz
347,luz
341,luz
343,luz
338,luz
343,luz
345,luz
347,luz
345,luz
156,luz
156,luz
156,luz
151,luz
157,luz
151,luz
155,luz
154,luz
151,luz
151,luz
151,luz
157,luz
157,luz
150,luz
156,luz
157,luz
151,luz
153,luz
153,luz
155,luz
150,luz
156,luz
153,luz
153,luz
158,luz
155,luz
150,luz
154,luz
149,luz
151,luz
154,luz
157,luz
151,luz
161,luz
153,luz
156,luz
160,luz
155,luz
160,luz
155,luz
157,luz
154,luz
157,luz
153,luz
157,luz
154,luz
154,luz
153,luz
154,luz
